Samples,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb206/U238_mean,Final Pb206/U238_2SE(int),rho 206Pb/238U v 207Pb/235U,Final Pb207/Pb206 age_mean
JR21WP03_6_2,1.909220541,0.021466006,0.18851382,0.00238524,0.672557235,1033.159297
JR21WP03_7_1,14.29140542,0.273339835,0.559119216,0.010998214,0.886117101,2710.296108
JR21WP03_7_2,13.56441215,0.255337938,0.518305528,0.009788486,0.751585152,2746.755976
JR21WP03_7_3,14.50679938,0.190150023,0.558505748,0.009219182,0.709714523,2738.301927
JR21WP03_7_4,13.64447627,0.307976683,0.528456426,0.013171987,0.895168517,2728.976583
JR21WP03_7_5,13.38922335,0.394710995,0.521054099,0.017042623,0.939539005,2718.271248
JR21WP03_7_6,14.38272842,0.202104579,0.557470098,0.00966936,0.861045313,2725.777419
JR21WP03_8_1,1.707495777,0.019589264,0.172308646,0.002339179,0.548342588,997.9928331
JR21WP03_8_2,1.680445883,0.022874792,0.17110953,0.002518063,0.691269955,984.6564208
JR21WP03_8_3,1.736004359,0.021731212,0.174497062,0.002352122,0.779127458,1004.948144
JR21WP03_8_4,1.716988806,0.021403414,0.174676324,0.002535535,0.687314946,980.44926
JR21WP03_8_5,1.703099061,0.022316611,0.172405112,0.002600484,0.867019543,989.8863801
JR21WP03_9_1,2.285945394,0.034730535,0.202740255,0.003897857,0.872993207,1249.622097
JR21WP03_9_2,2.332479823,0.053467648,0.209166136,0.005255716,0.902778612,1232.087066
JR21WP03_9_3,2.578852801,0.040355586,0.230036141,0.004008867,0.919326264,1242.323644
JR21WP03_10_1,0.565334748,0.016383317,0.071519967,0.001667719,0.647137908,526.914148
JR21WP03_10_2,0.531758891,0.00902157,0.070372177,0.000863908,0.33377329,412.1392925
JR21WP03_11_1,1.06198849,0.018363154,0.089618422,0.001406793,0.648338557,1345.231542
JR21WP03_11_2,1.05595918,0.014824917,0.097242436,0.001834178,0.466343721,1176.473246
JR21WP03_11_3,1.091666038,0.023073133,0.104096909,0.00203588,0.640331355,1105.511738
JR21WP03_11_4,1.204103928,0.032022657,0.127924371,0.002617767,0.678932168,889.8661485
JR21WP03_11_5,1.381659416,0.019639665,0.089958241,0.001951744,0.403186717,1825.015189
JR21WP03_12_1,1.766789388,0.04464833,0.168219129,0.004885076,0.864901246,1104.810971
JR21WP03_12_2,2.398919101,0.05311705,0.217887868,0.00504964,0.659157412,1196.279829
JR21WP03_12_3,2.122805819,0.039669149,0.197518441,0.002940344,0.573988327,1145.861149
JR21WP03_12_4,2.622457882,0.051032515,0.236117251,0.003847818,0.712509791,1210.61279
JR21WP03_12_5,2.280366727,0.026347546,0.205959494,0.002616548,0.597447447,1205.344957
JR21WP03_12_6,2.509339984,0.039633965,0.221843278,0.003979755,0.683214518,1247.440189
JR21WP03_13_1,0.496449352,0.013321919,0.064252537,0.001283557,0.329103146,443.2643628
JR21WP03_13_2,0.508546391,0.011957864,0.064732037,0.001359487,0.571206373,484.4533873
JR21WP03_13_3,0.538992574,0.018999826,0.061071878,0.001637753,0.496717798,728.7377177
JR21WP03_13_4,0.666804207,0.027899267,0.071697175,0.001239955,0.56202374,833.7652032
JR21WP03_14_1,0.451790201,0.00787568,0.058728495,0.000993556,0.796785308,441.4693472
JR21WP03_14_2,0.453954523,0.006922574,0.060431535,0.000870936,0.540607326,387.5913472
JR21WP03_14_3,0.46945158,0.007378335,0.061954388,0.000925789,0.463618186,407.303302
JR21WP03_15_1,1.908125396,0.033573637,0.17994724,0.002448903,0.480233636,1121.994331
JR21WP03_15_2,2.460459813,0.062150864,0.222020763,0.005663253,0.706283006,1210.996238
JR21WP03_15_3,2.132110821,0.047863474,0.19772185,0.004216429,0.850498836,1158.144093
JR21WP03_15_4,2.157686537,0.03512407,0.195613936,0.002888657,0.613129405,1203.982862
JR21WP03_15_5,2.357022381,0.033547273,0.211634743,0.003174475,0.550540738,1224.753093
JR21WP03_16_1,2.109270636,0.040489444,0.160815827,0.004104425,0.819221494,1542.510313
JR21WP03_16_2,3.52559048,0.048522014,0.26266569,0.003997134,0.618222278,1584.67527
JR21WP03_16_3,2.87329081,0.096665062,0.218294253,0.007263249,0.964800873,1548.285528
JR21WP03_16_4,2.857310136,0.164862113,0.220228399,0.011417862,0.967849933,1514.498737
JR21WP03_18_1,2.293494281,0.031418987,0.20374493,0.002683158,0.729204314,1255.152565
JR21WP03_18_2,2.429794321,0.043507687,0.221179069,0.003877666,0.79731855,1205.732844
JR21WP03_18_3,2.27990576,0.049587726,0.201561783,0.003470327,0.553020969,1265.724368
JR21WP03_18_4,2.587708354,0.064162744,0.230985763,0.005570115,0.82938123,1245.484449
JR21WP03_19_1,0.697668683,0.017679804,0.058088987,0.001151487,0.661014594,1375.31772
JR21WP03_19_2,0.908365999,0.034866004,0.070466953,0.001446764,0.680282611,1501.090902
JR21WP03_19_3,0.772966372,0.021487853,0.063751615,0.000984006,-0.049232896,1388.783416
JR21WP03_19_4,1.109850684,0.034776387,0.059821001,0.001903327,0.671032136,2172.142258
JR21WP03_19_5,0.942110105,0.027700464,0.051562935,0.001629499,0.740370272,2148.46554
JR21WP03_19_6,1.444550015,0.028918379,0.058469166,0.002190102,0.559570362,2661.70569
JR21WP03_19_7,1.070909471,0.028576574,0.06612733,0.001160865,0.585378779,1923.76873
JR21WP03_19_8,0.934244852,0.013717682,0.046296357,0.000921145,0.255695597,2319.544179
JR21WP03_20_1,2.236791185,0.031954791,0.164179238,0.00222665,0.866185391,1598.884817
JR21WP03_20_2,1.524394806,0.035952176,0.083285703,0.001966121,0.931786033,2138.592817
JR21WP03_20_3,1.923702673,0.044336224,0.118241681,0.004026041,0.963942104,1936.534217
JR21WP03_20_4,1.76839741,0.046043477,0.095469243,0.003241276,0.89783986,2164.131289
JR21WP03_21_2,2.711046429,0.034238592,0.214559567,0.00301881,0.831666295,1456.163041
JR21WP03_21_3,2.800296862,0.040394279,0.215876168,0.004336813,0.885336474,1514.797065
JR21WP03_22_1,1.70522221,0.106572065,0.133353166,0.011072945,0.957680552,1508.632865
JR21WP03_22_2,2.151296479,0.182740978,0.160112391,0.014456546,0.767694166,1578.894852
JR21WP03_22_3,1.987816208,0.048901082,0.170814547,0.00485825,0.857920149,1300.819323
JR21WP03_22_4,1.672470191,0.034656199,0.13524119,0.003472856,0.686122748,1417.729144
JR21WP03_23_1,1.824747382,0.0287592,0.147298365,0.002986806,0.606324613,1420.071597
JR21WP03_24_1,1.459833067,0.039455835,0.079292177,0.002735419,0.704051179,2144.585725
JR21WP03_24_2,1.627857543,0.079654015,0.108718512,0.003984932,0.843804765,1760.960551
JR21WP03_25_1,0.558803422,0.012535032,0.066268193,0.001867606,0.745177911,642.068409
JR21WP03_25_2,0.602221681,0.020336932,0.073162482,0.001347076,0.422116892,595.6398191
JR21WP03_25_3,0.539907149,0.010219677,0.067507726,0.000987717,0.543442149,523.2306447
JR21WP03_26_1,1.228283524,0.111910943,0.063612428,0.007734861,0.996413838,2250.515912
JR21WP03_26_2,1.93946454,0.034879607,0.127974979,0.002376219,0.885044157,1805.603559
JR21WP03_27_1,0.583838433,0.019965521,0.067171288,0.001029751,0.596408814,693.7024966
JR21WP03_27_2,0.549686756,0.021258118,0.06412226,0.001138697,0.575682721,666.3318844
JR21WP03_28_1,3.131923311,0.038369089,0.243720148,0.003260537,0.540799746,1485.943262
JR21WP03_28_2,3.200856237,0.065468524,0.249616158,0.00417682,0.804313466,1488.577899
JR21WP03_29_1,1.431599673,0.087390606,0.11162261,0.004143793,0.779414821,1472.123295
JR21WP03_29_2,1.232680398,0.048435026,0.096537739,0.002892139,0.847499869,1476.208717
JR21WP03_30_1,0.655542417,0.018201475,0.056647825,0.002575488,0.868073539,1306.743446
JR21WP03_30_2,0.669025876,0.019261951,0.065134016,0.003619195,-0.040666448,1071.421493
JR21WP03_31_1,1.612225113,0.018967623,0.147136292,0.004517525,0.059436885,1193.599308
JR21WP03_32_1,0.743302869,0.088597226,0.06982413,0.00712338,0.831685165,1178.967442
JR21WP03_32_2,0.599029351,0.028803874,0.065262413,0.002625506,-0.306487934,864.5874539
JR21WP03_32_3,0.678081604,0.055411341,0.063414851,0.00409836,0.426473098,1116.14647
JR21WP03_33_1,1.696946059,0.066305399,0.056805855,0.002011073,-0.832887689,2959.209957
JR21WP03_33_2,1.299048918,0.030550865,0.066736928,0.00147415,0.515613703,2256.842795
JR21WP03_33_3,1.04523457,0.023001064,0.058403373,0.001392296,-0.244571135,2099.770555
JR21WP03_33_4,0.882199844,0.027257381,0.077976917,0.001020316,0.510308418,1270.962124
JR21WP03_33_5,0.685193282,0.01943653,0.065926965,0.00143092,0.228197353,1092.673205
JR21WP03_33_6,1.050314341,0.064407286,0.062178432,0.002172954,-0.710695705,1967.476775
JR21WP03_34_1,1.348242621,0.060104935,0.084159601,0.005307671,0.695630382,1933.58648
JR21WP03_34_2,2.839634902,0.140852164,0.253733332,0.012648643,0.918546591,1237.995281
JR21WP03_35_1,0.559754114,0.010289054,0.068724196,0.001207795,0.77613809,591.4926149
JR21WP03_35_2,0.519162434,0.012475792,0.067814185,0.001317284,0.611535754,453.1080236
