ID,Slope,Yintercept,Lower Intercept,Upper Intercept,Likelihood,normalized
17248,0.0405345824691869,0.115170297020188,1.24e+09,1.98e+09,1327.36473252749,5.87329527667031
17249,0.0403432856944562,0.115627745433099,1.24e+09,1.99e+09,1315.91974733289,5.8226537492606
17250,0.0401525838831925,0.116083771108517,1.24e+09,2e+09,1304.4341922236,5.77183270895399
17251,0.055600286887548,0.0791591923398345,1.25e+09,1.26e+09,2410.57232587373,10.6662492295298
17252,0.0553694453051934,0.0797189523653442,1.25e+09,1.27e+09,2397.47691887872,10.6083049507908
17253,0.055139127521063,0.0802774422500744,1.25e+09,1.28e+09,2382.17635934902,10.5406033599514
17254,0.0549093349902798,0.080834658465546,1.25e+09,1.29e+09,2364.81624830496,10.463788709314
17255,0.054680069153659,0.0813905975179747,1.25e+09,1.3e+09,2345.55732508419,10.3785722348858
17256,0.0544513314376593,0.0819452559483884,1.25e+09,1.31e+09,2324.57218562866,10.2857176355251
17257,0.0542231232543168,0.082498630332788,1.25e+09,1.32e+09,2302.04206467474,10.186026834844
17258,0.0539954460011992,0.0830507172822584,1.25e+09,1.33e+09,2278.1537446089,10.0803263035792
17259,0.0537683010613434,0.0836015134431196,1.25e+09,1.34e+09,2253.09664428085,9.96945417823385
17260,0.0535416898032067,0.0841510154970456,1.25e+09,1.35e+09,2227.06013097526,9.85424836714717
17261,0.0533156135806137,0.0846992201611923,1.25e+09,1.36e+09,2200.23108839809,9.73553578937209
17262,0.0530900737327043,0.0852461241883241,1.25e+09,1.37e+09,2172.79176329951,9.61412284645803
17263,0.0528650715838851,0.0857917243669316,1.25e+09,1.38e+09,2144.91790353151,9.49078718376776
17264,0.0526406084437796,0.0863360175213531,1.25e+09,1.39e+09,2116.77719118334,9.36627075744839
17265,0.0524166856071804,0.086879000511889,1.25e+09,1.4e+09,2088.52796616541,9.24127418657262
17266,0.0521933043540032,0.0874206702349147,1.25e+09,1.41e+09,2060.31822838209,9.11645233797385
17267,0.0519704659492396,0.0879610236229947,1.25e+09,1.42e+09,2032.28490056671,8.99241106445445
17268,0.0517481716429136,0.088500057644987,1.25e+09,1.43e+09,2004.55332902884,8.86970499570284
17269,0.0515264226700384,0.0890377693061497,1.25e+09,1.44e+09,1977.23699602083,8.74883626557888
17270,0.0513052202505727,0.0895741556482461,1.25e+09,1.45e+09,1950.43741517975,8.63025404946793
17271,0.0510845655893803,0.090109213749642,1.25e+09,1.46e+09,1924.24418051406,8.51435478103566
17272,0.0508644598761901,0.0906429407254036,1.25e+09,1.47e+09,1898.73513962212,8.40148291868196
17273,0.0506449042855563,0.0911753337273939,1.25e+09,1.48e+09,1873.97666316851,8.29193213791377
17274,0.0504258999768211,0.0917063899443628,1.25e+09,1.49e+09,1850.02398498255,8.18594683620599
17275,0.0502074480940763,0.0922361066020403,1.25e+09,1.5e+09,1826.92159033329,8.08372385103225
17276,0.0499895497661304,0.0927644809632164,1.25e+09,1.51e+09,1804.70363380414,7.98541430886785
17277,0.0497722061064708,0.093291510327833,1.25e+09,1.52e+09,1783.39437253125,7.89112554217366
17278,0.0495554182132327,0.0938171920330585,1.25e+09,1.53e+09,1763.00860516965,7.80092303172413
17279,0.0493391871691648,0.094341523453372,1.25e+09,1.54e+09,1743.55211156482,7.71483235205673
17280,0.0491235140416001,0.0948645020006336,1.25e+09,1.55e+09,1725.02209250554,7.63284111728116
17281,0.0489083998824235,0.0953861251241626,1.25e+09,1.56e+09,1707.40761287219,7.55490094191236
17282,0.0486938457280443,0.0959063903108047,1.25e+09,1.57e+09,1690.69005476446,7.48092944586044
17283,0.0484798525993683,0.0964252950849997,1.25e+09,1.58e+09,1674.8435896009,7.41081234336682
17284,0.0482664215017705,0.0969428370088476,1.25e+09,1.59e+09,1659.83567958721,7.3444056618903
17285,0.0480535534250689,0.0974590136821718,1.25e+09,1.6e+09,1645.62761925893,7.28153813831386
17286,0.0478412493435016,0.0979738227425748,1.25e+09,1.61e+09,1632.1751269831,7.22201383620842
17287,0.0476295102157022,0.098487261865498,1.25e+09,1.62e+09,1619.42899438907,7.16561501942068
17288,0.047418336984678,0.0989993287642749,1.25e+09,1.63e+09,1607.33579879273,7.11210530439262
17289,0.0472077305777893,0.0995100211901803,1.25e+09,1.64e+09,1595.83867994527,7.06123309710298
17290,0.0469976919067284,0.100019336932482,1.25e+09,1.65e+09,1584.87817810114,7.01273530133249
17291,0.0467882218675019,0.100527273818484,1.25e+09,1.66e+09,1574.39312572622,6.96634126427532
17292,0.0465793213404123,0.10103382971357,1.25e+09,1.67e+09,1564.32158045294,6.92177690465904
17293,0.0463709911900422,0.101539002521242,1.25e+09,1.68e+09,1554.60178244205,6.87876894885861
17294,0.0461632322652383,0.102042790183161,1.25e+09,1.69e+09,1545.17311543263,6.8370491833302
17295,0.045956045399097,0.102545190679179,1.25e+09,1.7e+09,1535.97704772635,6.79635861825819
